Id,Text,Language,Retweets,Favorites,User
1,New iPhone 13 features are amazing! Can't wait to get my hands on it. #AppleEvent https://apple.com,English,120,85,@user123
2,Battery life of the new smartphone is disappointing. #tech #smartphone #battery https://example.com,English,55,20,@techlover
3,Tesla's new solar panels are revolutionizing renewable energy. #solarpower #environment 🌞,English,90,40,@greenenergyfan
4,Planting trees is crucial for fighting climate change. Let's protect our planet together! 🌳🌍 #climateaction,English,75,30,@climatewarrior
5,"Makin berkembangnya teknologi, semakin mudah kita mendapatkan informasi. #teknologi #digital https://contoh.com",Indonesian,110,80,@pengguna1
6,Penggunaan plastik perlu dikurangi agar tidak merusak lingkungan. #lingkungan #plastik #kesehatan https://contoh.com,Indonesian,65,25,@alamsehat
7,Can't wait for the new iPhone 13! #excited #tech #gadgets https://example.com,English,85,45,@gadgetlover
8,Let's all work together to save the environment! 🌿🌎 #climatechange #savetheplanet,English,70,35,@earthlover
9,"Dulu teknologi yang sangat canggih, sekarang sudah ketinggalan zaman. #teknologi #jadul https://contoh.com",Indonesian,45,15,@pencintatech
10,Sangat penting untuk menjaga kebersihan lingkungan sekitar. #lingkungan #bersih #kebersihan https://contoh.com,Indonesian,80,50,@pedulilangit
11,Ini adalah link untuk membeli produk terbaru dari Apple. https://example.com #beli #produk #Apple,Indonesian,60,30,@penikmatgadget
12,Love my new Tesla! No more worrying about gas prices. #electricvehicle #green #future 🚗⚡️,English,95,60,@teslafan
13,Sekarang banyak sekali teknologi yang memudahkan hidup kita sehari-hari. #teknologi #kemudahan https://contoh.com,Indonesian,75,40,@techenthusiast
14,"Perubahan iklim sangat serius, kita harus bertindak sekarang juga. #perubahaniklim #tindakan https://contoh.com",Indonesian,55,20,@planetdunia
15,Check out this amazing article about the latest advancements in AI! #AI #technology #future https://example.com,English,100,70,@AIfanatic
16,Recycling is one of the easiest ways to help the environment. Let's all do our part! ♻️🌍 #recycle #sustainability,English,85,45,@greenliving
17,Saya sangat menyukai gadget baru saya! #gadget #teknologi #baru https://contoh.com,Indonesian,90,55,@penggemargadget
18,Indonesia perlu memperbaiki masalah sampah plastik untuk melindungi lingkungan. #plastik #sampah #masalah https://contoh.com,Indonesian,65,25,@pedulilingkungan
19,Excited for the launch of the new iPhone! #Apple #iPhone13 #launch https://example.com,English,80,40,@techenthusiast
20,"Let's switch to renewable energy for a cleaner, brighter future! #renewables #cleanenergy 🌞🌿",English,75,35,@cleanenergyadvocate
21,Penggunaan teknologi yang berlebihan bisa membahayakan lingkungan. #teknologi #bahaya https://contoh.com,Indonesian,50,15,@alamsehat
22,I'm so hyped about the new iPhone release! #iPhone #Apple #excited https://example.com,English,95,50,@iphonelover
23,Lets save the planet by reducing plastic waste! #environment #plasticpollution #savetheearth,English,80,45,@ecoactivist
24,TikTok dan Instagram adalah platform yang sangat populer di kalangan remaja. #sosialmedia #tiktok #instagram https://contoh.com,Indonesian,65,30,@sosialmediapopuler
25,Plant more trees to combat climate change! 🌳🌍 #climateaction #trees #environment,English,70,40,@earthprotector
26,Saat ini teknologi semakin maju dengan pesat. #teknologi #majuberubah https://contoh.com,Indonesian,85,50,@techprogress
27,Lingkungan yang bersih sangat penting untuk kesehatan kita semua. #bersih #sehat #lingkungan https://contoh.com,Indonesian,60,25,@pedulilangit
28,Artificial intelligence is shaping the future of technology. #AI #future #technology,English,110,65,@futuretech
29,Let's all do our part in preserving nature and wildlife. 🌿🦋 #nature #wildlife #conservation,English,75,35,@naturelover
30,Kita harus belajar menggunakan teknologi dengan bijak agar tidak menyebabkan masalah lingkungan. #teknologi #bijak https://contoh.com,Indonesian,50,20,@alamsehat
31,Sudah saatnya kita semua mulai menggunakan energi terbarukan. #energiterbarukan #hematenergi https://contoh.com,Indonesian,70,40,@savelingkungan
32,Excited to see the latest innovations at the upcoming tech conference! #tech #innovation #conference,English,95,55,@techenthusiast
33,Let's clean up our oceans and protect marine life! 🌊🐠 #oceanconservation #cleanup #marinebiology,English,80,45,@oceanlover
34,Teknologi digital semakin memudahkan segala urusan kita sehari-hari. #teknologi #digital #kemudahan https://contoh.com,Indonesian,75,35,@pengguna1
35,Kita perlu lebih peduli terhadap lingkungan sekitar kita. #lingkungan #peduli #kesehatan https://contoh.com,Indonesian,60,30,@pedulilangit
36,Check out this awesome TED talk about sustainable living! #TEDtalk #sustainability #environment https://example.com,English,90,50,@sustainabilityenthusiast
37,Artificial intelligence akan mengubah cara kerja di masa depan. #AI #teknologi #masadepan https://contoh.com,Indonesian,105,60,@pencintatech
38,Let's protect our forests and biodiversity for future generations. 🌳🦜 #forests #biodiversity #conservation,English,70,40,@naturelover
39,Sudah waktunya kita semua mengurangi penggunaan plastik sekali pakai. #plastik #pengurangan #gerakan https://contoh.com,Indonesian,75,45,@pedulilingkungan
40,Can't wait to see what advancements AI will bring in the future! #AI #future #technology,English,95,50,@AIfanatic
41,We need to take urgent action to protect our planet from the effects of climate change. 🌍🔥 #climatechange #urgentaction,English,80,40,@climatewarrior
42,Tingkatkan kesadaran akan pentingnya penggunaan energi terbarukan! #energiterbarukan #lingkungan #awareness https://contoh.com,Indonesian,70,35,@savelingkungan
43,Check out this cool new gadget I just got! #gadget #cool #newtech https://example.com,English,85,50,@techenthusiast
44,Let's all do our part in reducing carbon emissions! 🌿🚗 #carbonfootprint #climatechange #environment,English,75,45,@ecoactivist
45,Penggunaan teknologi harus diimbangi dengan kesadaran akan dampaknya terhadap lingkungan. #teknologi #kesadaran #lingkungan https://contoh.com,Indonesian,55,25,@alamsehat
46,Saya sangat tertarik dengan inovasi-inovasi terbaru di bidang teknologi. #teknologi #inovasi #terbaru https://contoh.com,Indonesian,80,45,@pencintatech
47,"Tolong jangan buang sampah sembarangan ya, kita harus jaga kebersihan lingkungan. #sampah #lingkungan #kebersihan https://contoh.com",Indonesian,65,30,@pedulilangit
48,Excited to see how technology will continue to evolve in the coming years! #technology #evolution #future,English,100,55,@techenthusiast
